,Status,Number_of_Properties,Consent,Minor_Variance,Official_Plan_Rezoning,Site_Plan_Application,lat,lon,Council,Average_Income,Secondary_Plan,Business_Improvement_Area,Site_and_Area_Specific_Policy,Zoning_Category
186,Approved,More Than One Property,1,0,0,0,43.7133637,-79.2517406,Scarborough Community Council,54360,0,0,0,Residential
187,Approved,One Property,0,0,1,0,43.795614,-79.32744173214286,Scarborough Community Council,31826,0,0,1,Residential Apartment
188,Denied,One Property,0,1,0,0,43.71055311333333,-79.42267624666667,North York Community Council,123077,0,0,0,Residential
191,Approved,More Than One Property,0,0,1,0,43.6501531,-79.4318291,Toronto and East York Community Council,45737,0,1,0,Commercial Residential
192,Approved,More Than One Property,0,0,1,0,43.649799975,-79.43219145,Toronto and East York Community Council,45737,0,1,0,Commercial Residential
195,Denied,One Property,1,1,0,0,43.6628547,-79.5001889,Toronto and East York Community Council,76629,0,0,0,Residential
196,Approved,One Property,0,1,0,0,43.69348706666667,-79.32024886666666,Toronto and East York Community Council,51846,0,0,0,Residential
197,Denied,More Than One Property,0,0,1,0,43.69118971666667,-79.26468557916667,Scarborough Community Council,54360,0,0,1,Commercial Residential
198,Denied,One Property,1,1,0,0,43.59206081052631,-79.53873088421052,Etobicoke York Community Council,47384,0,0,0,Residential
199,Approved,One Property,0,1,0,0,43.64493714117647,-79.40835510588235,Toronto and East York Community Council,70623,1,0,0,Residential
200,Denied,One Property,0,1,0,0,43.69089175882353,-79.32899632352941,Toronto and East York Community Council,51846,0,0,0,Residential
201,Denied,One Property,1,1,0,0,43.7698431,-79.4292283,North York Community Council,44576,0,0,0,Residential
202,Denied,One Property,0,1,0,0,43.6786787,-79.2908101,Toronto and East York Community Council,92580,0,0,0,Residential
203,Denied,One Property,0,1,0,0,43.7665993,-79.4722358,North York Community Council,29958,0,1,0,Employment Industrial
204,Denied,One Property,0,1,0,0,43.67312128,-79.4464752,Toronto and East York Community Council,41717,0,0,0,Residential
205,Denied,One Property,0,1,0,0,43.68795854972263,-79.47661225408346,Etobicoke York Community Council,33316,0,0,0,Residential
206,Approved,One Property,0,1,0,0,43.68240748571429,-79.39450635714286,Toronto and East York Community Council,114174,1,0,0,Residential
207,Approved,More Than One Property,1,0,0,0,43.78335495490196,-79.18201543921569,Scarborough Community Council,40972,1,0,0,Residential
208,Denied,One Property,0,1,0,0,43.663257,-79.366866,Toronto and East York Community Council,63012,0,0,0,Residential
209,Approved,More Than One Property,0,0,0,1,43.65542592860315,-79.37653428604199,Toronto and East York Community Council,53583,0,0,0,Commercial Residential
210,Denied,More Than One Property,0,1,0,0,43.64933438947368,-79.3945813236842,Toronto and East York Community Council,37422,0,1,1,Commercial Residential
211,Denied,One Property,0,0,1,0,43.599150075,-79.53161595,Etobicoke York Community Council,47709,0,0,0,Employment Industrial
212,Denied,More Than One Property,0,0,1,0,43.72763895,-79.40307179999999,North York Community Council,111730,0,1,1,Commercial Residential
213,Denied,One Property,0,1,0,0,43.68750366999024,-79.2733244740577,Scarborough Community Council,54360,0,0,0,Residential
215,Denied,One Property,0,1,0,0,43.6910167,-79.4520872,Toronto and East York Community Council,35112,0,0,0,Residential
216,Approved,One Property,0,1,0,0,43.6724515,-79.3988532,Toronto and East York Community Council,112766,0,0,1,Residential
217,Approved,One Property,1,0,0,0,43.6960079,-79.31622265,Toronto and East York Community Council,47710,0,0,0,Residential
218,Denied,One Property,0,1,0,0,43.66113736,-79.37038504,Toronto and East York Community Council,58915,0,0,0,Residential
219,Approved,One Property,0,1,0,0,43.67456108333333,-79.40562316666667,Toronto and East York Community Council,112766,0,0,0,Residential
